step,phase,init_view,time,robot_x,robot_y,robot_yaw,n_detections,n_depth_rejected,n_doa_samples,chemicalConc,best_detection,best_sim,H_fused,trigger,peak_object,q_s_map,L0_map,level_db
-1,Initialization,0.0,12.15,-0.4678357349236934,3.2964458882728653,15.1,4,0,0,0.0,,,,,,,,
-1,Initialization,1.0,17.93,-0.4587219614491161,3.290849158322696,77.6,0,0,0,0.0,,,,,,,,
-1,Initialization,2.0,23.78,-0.4294897625088367,3.3397905224288604,150.9,0,0,0,0.0,,,,,,,,
-1,Initialization,3.0,29.54,-0.41339933320567335,3.312677097612384,-146.2,0,0,0,0.0,,,,,,,,
-1,Initialization,4.0,35.34,-0.4354975391007002,3.3265709582396603,-74.8,1,0,0,0.0,,,,,,,,
-1,Initialization,5.0,41.07,-0.4811567251011849,3.320474319854324,-9.2,1,0,0,0.0,,,,,,,,
0,search,,45.0,-0.47693079408938044,3.3109831137840673,-6.6,4,0,0,0.0,oven,0.25873976945877075,8.356,0.9578,microwave,999.9999999999998,,
1,search,,57.45,-0.044049962825251754,2.951392788171104,-65.1,2,0,0,0.0,microwave,0.21801519393920898,8.318,0.9534,refrigerator,999.9999999999998,,
2,search,,70.25,0.3554469745820421,3.114387041358428,36.7,1,0,0,0.0,refrigerator,0.19279877841472626,8.285,0.9496,unobserved,999.9999999999998,,
3,search,,86.43,-0.005712558403288215,2.933501122671916,-175.6,0,0,0,0.0,,,8.162,0.9355,unobserved,999.9999999999998,,
