step,robot_id,robot_x,robot_z,robot_yaw,step_time,listen_s,behavior_flag,is_random,target_object,target_coordinate,target_coord_estimation_error,concentration,sound_active,sound_detected,sound_doa_deg,sound_level_db,n_doa_samples,doa_sigma_eff,gt_distance_from_source,Bayesian_entropy,visual_entropy,sound_entropy,fused_entropy,semantic_entropy,trigger_stat,trigger_V,trigger_O,trigger_A,dist_to_target
0,1,2.0,-0.25,270.0,3.022479772567749,2.0,Initialization,False,bed,"-1.45, -0.12, 0.56",1.0570294203189963,,True,True,75.5813638088025,62.83087767530037,20.0,12.5,3.2987473269352567,8.546894459887639,8.529317840216576,6.802737400920763,6.715259364101157,1.3882871236093262,0.7856958332195714,,,,
1,1,1.75,-0.25,279.17620849609375,0.7735185623168945,0.0,search,False,vase,"-1.32, 1.32, -0.46",0.03870563857909783,,False,False,,,,,3.0494339740863015,8.546894459887639,8.519063474486964,6.802737400920763,6.6626343201730975,1.384915693854968,0.7795386208923291,,,,
2,1,1.5,-0.25,285.3536682128906,0.7806205749511719,0.0,search,False,vase,"-1.32, 1.32, -0.46",0.03870563857909783,,False,False,,,,,2.8002430604611894,8.546894459887639,8.506459778414195,6.802737400920763,6.618914686334997,1.3734034332258382,0.7744233554537202,,,,
3,1,-0.75,-1.25,206.6288604736328,2.778132200241089,2.0,goal_navigation,False,vase,"-1.32, 1.32, -0.46",0.03870563857909783,,True,True,48.12683024023586,87.30144659492908,20.0,12.5,0.9366804211222999,8.546894459887639,8.49879358114589,5.8464060022300535,5.7136202516804095,1.3682062001455886,0.6685024927469998,,,,0.974
