step,phase,time,robot_x,robot_y,n_detections,n_depth_rejected,n_doa_samples,chemicalConc,H_fused,trigger,peak_object,q_s_map,L0_map,init_view,robot_yaw,yolo_raw,det_no_depth,det_off_class,best_detection,best_sim,level_db
0,pre_sensing,0.79,0.0,0.0,0,0,0,,8.725,1.0,unobserved,,,,,,,,,,
1,Initialization,44.29,0.35128432658078657,6.191236276124441,1,0,60,,,,,,,0.0,168.8,12.0,0.0,5.0,,,
1,Initialization,71.41,0.3373248984039785,6.195711126437006,1,0,60,,,,,,,1.0,-119.9,3.0,0.0,2.0,,,
1,Initialization,97.72,0.30066502299897246,6.17347689107111,2,0,60,,,,,,,2.0,-50.5,2.0,0.0,0.0,,,
1,Initialization,124.6,0.2631532728728123,6.1351379313203775,1,0,60,,,,,,,3.0,15.2,1.0,0.0,0.0,,,
1,Initialization,151.32,0.27220791018369805,6.1170822170093295,0,0,59,,,,,,,4.0,87.2,0.0,0.0,0.0,,,
1,Initialization,178.23,0.291227951875372,6.111440946322935,1,0,59,,,,,,,5.0,160.1,15.0,0.0,4.0,,,
1,Initialization,183.84,0.291227951875372,6.111440946322935,1,0,59,,8.439,0.9672,empty floor,,20.0,,160.1,15.0,0.0,4.0,,,
2,search,227.71,0.2820958218036589,6.111607254909949,1,0,60,,7.671,0.8793,unobserved,,20.0,,161.7,13.0,0.0,3.0,tv,0.24069148302078247,
3,search,280.33,-0.1708125323015719,6.523755298091039,0,0,59,,7.43,0.8516,unobserved,,20.0,,118.6,0.0,0.0,0.0,,,
