step,robot_id,robot_x,robot_z,robot_yaw,step_time,listen_s,behavior_flag,is_random,target_object,target_coordinate,target_coord_estimation_error,concentration,sound_active,sound_detected,sound_doa_deg,sound_level_db,n_doa_samples,doa_sigma_eff,gt_distance_from_source,Bayesian_entropy,visual_entropy,sound_entropy,fused_entropy,semantic_entropy,trigger_stat,trigger_V,trigger_O,trigger_A,dist_to_target
0,1,-1.75,0.25,270.0,3.176806688308716,2.0,Initialization,False,toilet,"-0.03, 0.10, 3.45",0.3615840693377306,4.6193784132080085,True,True,202.87931748299246,82.46991738407347,20.0,12.5,3.367906918549754,8.437522545328028,8.61870032839269,6.76522948886551,6.573123009822781,1.387252577783032,0.7607565593732643,,,,
1,1,-1.5,0.25,22.5770263671875,0.775101900100708,0.0,search,False,toilet,"-0.03, 0.10, 3.45",0.3615840693377306,4.963698110701263,False,False,,,,,3.2412627591767187,8.378185188978755,8.60661224639147,6.76522948886551,6.514936143011872,1.3803757051563903,0.754022159221369,,,,
2,1,-2.0,0.25,31.61749267578125,0.7767019271850586,0.0,search,False,toilet,"-0.03, 0.10, 3.45",0.3615840693377306,4.442469668984249,False,False,,,,,3.507821225490935,8.350896364358787,8.590291849261485,6.76522948886551,6.476685501603916,1.3640849029217281,0.7495951271533777,,,,
3,1,-1.75,0.25,28.694902420043945,0.8566679954528809,0.0,search,False,toilet,"-0.03, 0.10, 3.45",0.3615840693377306,4.53390399466847,False,False,,,,,3.367906918549754,8.33425925452233,8.574114537069983,6.76522948886551,6.439853763998762,1.347356063071582,0.7453323154070642,,,,
4,1,-0.75,2.5,173.48019409179688,2.8369688987731934,2.0,goal_navigation,False,toilet,"-0.03, 0.10, 3.45",0.3615840693377306,4.551452475470978,True,True,16.502171271932113,58.66163495995761,20.0,12.5,0.9975161554806344,8.315066988440547,8.559354597315263,5.805714182757788,5.556458056382856,1.3323901517581729,0.6430903403083651,,,,1.192
