step,robot_id,robot_x,robot_z,robot_yaw,step_time,listen_s,behavior_flag,is_random,target_object,target_coordinate,target_coord_estimation_error,concentration,sound_active,sound_detected,sound_doa_deg,sound_level_db,n_doa_samples,doa_sigma_eff,gt_distance_from_source,Bayesian_entropy,visual_entropy,sound_entropy,fused_entropy,semantic_entropy,trigger_stat,trigger_V,trigger_O,trigger_A,dist_to_target
0,1,2.5,-0.25,270.0,3.058765411376953,2.0,Initialization,False,laptop,"-0.65, 0.66, 0.23",0.9597755153265365,,True,False,,40.972129305001204,,,3.797644882853576,8.546894459887639,8.529190379721364,7.871412077529397,7.81758483060982,1.3789949481948214,0.9146696343682935,,,,
1,1,2.25,-0.25,283.3785400390625,0.7634072303771973,0.0,search,False,bed,"0.32, -0.35, 0.19",1.7460812084452173,,False,False,,,,,3.5481573093104575,8.546894459887639,8.516651188296294,7.871412077529397,7.80389301601973,1.374417619218702,0.9130676706779322,,,,
2,1,2.0,-0.25,221.48529052734375,0.810906171798706,0.0,search,False,bed,"0.28, -0.29, 0.06",1.6622256124117474,,False,False,,,,,3.2987473269352567,8.546894459887639,8.506698437136656,7.871412077529397,7.781901267335061,1.3697751197807901,0.9104946017360047,,,,
3,1,2.0,0.0,276.45245361328125,2.878476858139038,2.0,search,False,bed,"0.32, -0.35, 0.19",1.7460812084452173,,True,True,359.83952937763945,85.40105387344346,20.0,12.5,3.325911507103754,8.546894459887639,8.49328530316409,6.530428290350912,6.464896383752254,1.3574540012818752,0.7564029735120006,,,,
4,1,1.75,0.0,276.0215759277344,1.1644339561462402,0.0,search,False,bed,"0.32, -0.35, 0.19",1.7460812084452173,,False,False,,,,,3.078798627457541,8.546894459887639,8.48121499586654,6.530428290350912,6.460332300411487,1.344765552954964,0.7558689686331306,,,,
5,1,1.5,0.0,276.72552490234375,0.8976914882659912,0.0,search,False,bed,"0.32, -0.35, 0.19",1.7460812084452173,,False,False,,,,,2.832192547088512,8.546894459887639,8.470708955423545,6.530428290350912,6.456482109341605,1.3346574880948388,0.7554184902648822,,,,
6,1,1.25,0.0,277.05230712890625,2.983302593231201,2.0,search,False,bed,"0.28, -0.29, 0.06",1.6622256124117474,,True,False,,47.523364840037615,,,2.586238244851581,8.546894459887639,8.461597360886287,6.496569945221422,6.569603842246439,1.326365037960858,0.7686539096836824,,,,
7,1,1.25,0.25,266.30859375,1.024092674255371,0.0,search,False,bed,"0.28, -0.29, 0.06",1.6622256124117474,,False,False,,,,,2.6445380854235494,8.546894459887639,8.45027339644087,6.496569945221422,6.575936659009221,1.314377245438196,0.7693948591352643,,,,
8,1,1.0,0.25,264.9575500488281,1.4402894973754883,0.0,search,False,bed,"0.28, -0.29, 0.06",1.6622256124117474,,False,False,,,,,2.405388808613885,8.546894459887639,8.440900414398577,6.496569945221422,6.579542254905315,1.303141066102205,0.7698167194861807,,,,
9,1,-0.75,-0.75,255.96377563476562,3.1188840866088867,2.0,goal_navigation,False,bed,"0.28, -0.29, 0.06",1.6622256124117474,,True,True,336.94733144837454,79.59870448138338,20.0,12.5,0.6018945618288803,8.546894459887639,8.433349354446674,4.9692313214579515,5.3267857278281525,1.2938615638308386,0.6232422493138146,,,,1.31
