,Total Distance Traveled,Steps Taken,Final Distance from Source,Total Step Time,Final Target
,0.7,0.7,0.7,0.7,0.7
Run Number,,,,,
1,5.5,13,0.237,22.84,GarbageCan
2,5.0,11,0.127,18.73,GarbageCan
3,4.5,11,0.204,16.55,GarbageCan
4,4.0,12,0.221,18.21,GarbageCan
5,3.5,11,0.147,15.5,GarbageCan
