step,phase,init_view,time,robot_x,robot_y,robot_yaw,n_detections,n_depth_rejected,yolo_raw,det_no_depth,det_off_class,chemicalConc,best_detection,best_sim,H_fused,trigger,peak_object,q_s_map
-1,Initialization,0.0,4.21,-4.429905595992186,0.9757250005105838,-4.2,2,0,2,0,0,453.0,,,,,,
-1,Initialization,1.0,9.56,-4.45264090711652,0.9686600818412927,74.8,1,0,1,0,0,442.0,,,,,,
-1,Initialization,2.0,14.76,-4.479604013341946,0.9601268857801197,151.5,0,0,0,0,0,436.0,,,,,,
-1,Initialization,3.0,20.26,-4.500938583821611,1.0080344003700197,-131.2,0,0,0,0,0,431.0,,,,,,
-1,Initialization,4.0,25.34,-4.468551903307256,0.9852213387065403,-51.2,0,0,0,0,0,432.0,,,,,,
-1,Initialization,5.0,30.45,-4.493977262021483,0.9883008694411215,31.9,1,0,1,0,0,428.0,,,,,,
0,search,,56.66,-4.485475094396104,1.0093969833745184,60.4,0,0,2,0,1,418.0,,,7.455,0.9435,unobserved,108.14837471201983
1,search,,87.27,-4.514027491925836,1.005963885865273,-73.9,0,0,0,0,0,411.0,,,7.422,0.9394,empty floor,108.14837471201983
2,search,,119.76,-3.843111010150719,1.200043783937565,24.9,2,0,2,0,0,401.0,Humidifier,0.5268794894218445,7.179,0.9086,empty floor,108.14837471201983
3,search,,151.68,-2.92487945796908,1.0419623889273222,-1.4,2,0,2,0,0,399.0,Humidifier,0.5268794894218445,7.16,0.9062,empty floor,108.14837471201983
4,search,,181.05,-2.3289554704169455,0.8864799378758668,-5.5,2,0,2,0,0,389.0,Humidifier,0.5268794894218445,7.213,0.9129,empty floor,108.14837471201983
5,search,,207.87,-2.2834382780443074,0.927619402924404,17.8,2,0,2,0,0,381.0,Humidifier,0.5268794894218445,7.117,0.9008,Humidifier,108.14837471201983
