x,y,dist_robot,olf_loglik,olf_post,vis_post,fused,vis_like,observed,mle_class,ev_Cardboard_box,post_Cardboard_box,ev_First_aid_box,post_First_aid_box,ev_Humidifier,post_Humidifier,ev_empty_floor,post_empty_floor
-1.75,0.75,2.14095,-0.479184,0.00525691,0.035414,0.0514295,0.0883297,True,empty floor,0,0.03125,0,0.03125,1,0.15625,6,0.78125
-2.5,1,1.35793,-0.499426,0.00597322,0.0257556,0.0398702,0.0642398,True,empty floor,0,0.0227273,0,0.0227273,1,0.113636,9,0.840909
-2.5,1.5,1.3762,-0.492384,0.00589545,0.0182188,0.0280189,0.0454415,True,empty floor,0,0.05,1,0.25,0,0.05,3,0.65
-1.75,1,2.10265,-0.468315,0.00526946,0.0183168,0.0266321,0.0456858,True,empty floor,0,0.00925926,0,0.00925926,2,0.0833333,24,0.898148
-2.25,0.75,1.65546,-0.427809,0.00617235,0.0166654,0.0262249,0.0415669,True,empty floor,0,0.0147059,0,0.0147059,1,0.0735294,15,0.897059
-3.25,1,0.625938,-1.24194,0.00475284,0.0166654,0.0230126,0.0415669,True,empty floor,0,0.0147059,0,0.0147059,1,0.0735294,15,0.897059
-4.25,1,0.453405,-1.67715,0.00453582,0.0102958,0.0138886,0.0256798,True,empty floor,0,0.0357143,0,0.0357143,0,0.0357143,6,0.892857
-5,2.25,1.56231,-0.440859,0.00732037,0.00720704,0.0123508,0.0179758,True,empty floor,0,0.025,0,0.025,0,0.025,9,0.925
-5,2,1.40653,-0.481515,0.00703781,0.00720704,0.0121101,0.0179758,True,empty floor,0,0.025,0,0.025,0,0.025,9,0.925
-4.75,1.75,1.06061,-0.673872,0.00693982,0.00720704,0.0120255,0.0179758,True,empty floor,0,0.025,0,0.025,0,0.025,9,0.925
-4.75,1.5,0.955208,-0.768692,0.00605552,0.00720704,0.0112333,0.0179758,True,empty floor,0,0.025,0,0.025,0,0.025,9,0.925
-5,0.5,1.3522,-0.50171,0.00533286,0.00720704,0.0105417,0.0179758,True,empty floor,0,0.025,0,0.025,0,0.025,9,0.925
-5,1.25,1.15797,-0.603141,0.0049339,0.00720704,0.0101397,0.0179758,True,empty floor,0,0.025,0,0.025,0,0.025,9,0.925
-4.75,2.25,1.38739,-0.488255,0.0074192,0.00554388,0.00956456,0.0138276,True,empty floor,0,0.0192308,0,0.0192308,0,0.0192308,12,0.942308
-4.75,2,1.20929,-0.571546,0.0072661,0.00554388,0.00946536,0.0138276,True,empty floor,0,0.0192308,0,0.0192308,0,0.0192308,12,0.942308
-4.5,1.25,0.658786,-1.17822,0.00420371,0.00720704,0.00935936,0.0179758,True,empty floor,0,0.025,0,0.025,0,0.025,9,0.925
-5,-0.25,1.855,-0.425661,0.00682199,0.00554388,0.00917153,0.0138276,True,empty floor,0,0.0192308,0,0.0192308,0,0.0192308,12,0.942308
-5,1.75,1.28095,-0.533355,0.00669975,0.00554388,0.00908899,0.0138276,True,empty floor,0,0.0192308,0,0.0192308,0,0.0192308,12,0.942308
-5,0,1.66688,-0.426754,0.00645517,0.00554388,0.00892155,0.0138276,True,empty floor,0,0.0192308,0,0.0192308,0,0.0192308,12,0.942308
-4.75,0.25,1.3134,-0.518192,0.0061811,0.00554388,0.0087301,0.0138276,True,empty floor,0,0.0192308,0,0.0192308,0,0.0192308,12,0.942308
-5,0.25,1.49699,-0.454922,0.00605638,0.00554388,0.00864158,0.0138276,True,empty floor,0,0.0192308,0,0.0192308,0,0.0192308,12,0.942308
-5,1.5,1.19514,-0.579887,0.00589018,0.00554388,0.00852218,0.0138276,True,empty floor,0,0.0192308,0,0.0192308,0,0.0192308,12,0.942308
-1.25,0.75,2.63187,-0.716079,0.00174609,0.00976937,0.00817659,0.0243668,True,empty floor,0,0.00862069,0,0.00862069,1,0.0431034,27,0.939655
-4.75,0.5,1.14565,-0.611286,0.00525411,0.00554388,0.00804889,0.0138276,True,empty floor,0,0.0192308,0,0.0192308,0,0.0192308,12,0.942308
-4.5,2.5,1.4565,-0.465773,0.00744296,0.0045044,0.00778364,0.0112349,True,empty floor,0,0.015625,0,0.015625,0,0.015625,15,0.953125
-5,0.75,1.24134,-0.55364,0.00461972,0.00554388,0.00754734,0.0138276,True,empty floor,0,0.0192308,0,0.0192308,0,0.0192308,12,0.942308
-5,1,1.17406,-0.592836,0.00432167,0.00554388,0.00729982,0.0138276,True,empty floor,0,0.0192308,0,0.0192308,0,0.0192308,12,0.942308
