x,y,dist_robot,olf_loglik,olf_post,vis_post,fused,vis_like,observed,mle_class,ev_Cardboard_box,post_Cardboard_box,ev_First_aid_box,post_First_aid_box,ev_Humidifier,post_Humidifier,ev_empty_floor,post_empty_floor
-5,-0.25,1.3377,-0.547668,0.0041841,0.0041841,0.0041841,0.0449396,True,empty floor,0,0.0625,0,0.0625,0,0.0625,3,0.8125
-4.5,1.75,0.761723,-0.937489,0.0041841,0.0041841,0.0041841,0.0449396,True,empty floor,0,0.0625,0,0.0625,0,0.0625,3,0.8125
-2.5,1.5,2.05859,-0.526334,0.0041841,0.0041841,0.0041841,0.0454415,True,empty floor,0,0.05,1,0.25,0,0.05,3,0.65
-2.25,1.5,2.30158,-0.60885,0.0041841,0.0041841,0.0041841,0.0256798,True,empty floor,0,0.0357143,0,0.0357143,0,0.0357143,6,0.892857
-2,1.5,2.54593,-0.736658,0.0041841,0.0041841,0.0041841,0.0256798,True,empty floor,0,0.0357143,0,0.0357143,0,0.0357143,6,0.892857
-1.75,1.5,2.79128,-0.910497,0.0041841,0.0041841,0.0041841,0.0256798,True,empty floor,0,0.0357143,0,0.0357143,0,0.0357143,6,0.892857
-1.5,1.5,3.03739,-1.13083,0.0041841,0.0041841,0.0041841,0.0256798,True,empty floor,0,0.0357143,0,0.0357143,0,0.0357143,6,0.892857
-1.25,1.5,3.28409,-1.39781,0.0041841,0.0041841,0.0041841,0.0256798,True,empty floor,0,0.0357143,0,0.0357143,0,0.0357143,6,0.892857
-1,1.5,3.53125,-1.71131,0.0041841,0.0041841,0.0041841,0.0256798,True,empty floor,0,0.0357143,0,0.0357143,0,0.0357143,6,0.892857
-0.75,1.5,3.77878,-2.07098,0.0041841,0.0041841,0.0041841,0.0256798,True,empty floor,0,0.0357143,0,0.0357143,0,0.0357143,6,0.892857
-0.5,1.5,4.02662,-2.47631,0.0041841,0.0041841,0.0041841,0.0256798,True,empty floor,0,0.0357143,0,0.0357143,0,0.0357143,6,0.892857
-0.25,1.5,4.27471,-2.92668,0.0041841,0.0041841,0.0041841,0.0256798,True,empty floor,0,0.0357143,0,0.0357143,0,0.0357143,6,0.892857
-5,1.75,0.914464,-0.78537,0.0041841,0.0041841,0.0041841,0.0449396,True,empty floor,0,0.0625,0,0.0625,0,0.0625,3,0.8125
-4.75,1.75,0.803575,-0.890933,0.0041841,0.0041841,0.0041841,0.179758,False,Cardboard box,0,0.25,0,0.25,0,0.25,0,0.25
-4.25,1.75,0.799819,-0.894946,0.0041841,0.0041841,0.0041841,0.0449396,True,empty floor,0,0.0625,0,0.0625,0,0.0625,3,0.8125
-3,1.5,1.57918,-0.494354,0.0041841,0.0041841,0.0041841,0.0256798,True,empty floor,0,0.0357143,0,0.0357143,0,0.0357143,6,0.892857
-4,1.75,0.907854,-0.791018,0.0041841,0.0041841,0.0041841,0.0256798,True,empty floor,0,0.0357143,0,0.0357143,0,0.0357143,6,0.892857
-3.75,1.75,1.06475,-0.67541,0.0041841,0.0041841,0.0041841,0.0256798,True,empty floor,0,0.0357143,0,0.0357143,0,0.0357143,6,0.892857
-3.5,1.75,1.25227,-0.579146,0.0041841,0.0041841,0.0041841,0.0449396,True,empty floor,0,0.0625,0,0.0625,0,0.0625,3,0.8125
-3.25,1.75,1.45865,-0.514699,0.0041841,0.0041841,0.0041841,0.0449396,True,empty floor,0,0.0625,0,0.0625,0,0.0625,3,0.8125
-3,1.75,1.67695,-0.48651,0.0041841,0.0041841,0.0041841,0.0256798,True,empty floor,0,0.0357143,0,0.0357143,0,0.0357143,6,0.892857
