x,y,dist_robot,olf_loglik,olf_post,vis_post,fused,vis_like,observed,mle_class,ev_Cardboard_box,post_Cardboard_box,ev_First_aid_box,post_First_aid_box,ev_Humidifier,post_Humidifier,ev_empty_floor,post_empty_floor
-0.5,1.25,3.97738,-2.41337,0.0041841,0.0041841,0.0041841,0.0449396,True,empty floor,0,0.0625,0,0.0625,0,0.0625,3,0.8125
-0.25,1.25,4.22685,-2.85964,0.0041841,0.0041841,0.0041841,0.0449396,True,empty floor,0,0.0625,0,0.0625,0,0.0625,3,0.8125
-5,1.5,0.739888,-0.954171,0.0041841,0.0041841,0.0041841,0.0449396,True,empty floor,0,0.0625,0,0.0625,0,0.0625,3,0.8125
-4.75,1.5,0.586694,-1.16698,0.0041841,0.0041841,0.0041841,0.179758,False,Cardboard box,0,0.25,0,0.25,0,0.25,0,0.25
-4.5,1.5,0.515738,-1.29591,0.0041841,0.0041841,0.0041841,0.0449396,True,empty floor,0,0.0625,0,0.0625,0,0.0625,3,0.8125
-4.25,1.5,0.559251,-1.21403,0.0041841,0.0041841,0.0041841,0.0449396,True,empty floor,0,0.0625,0,0.0625,0,0.0625,3,0.8125
-4,1.5,0.696088,-1.00765,0.0041841,0.0041841,0.0041841,0.0449396,True,empty floor,0,0.0625,0,0.0625,0,0.0625,3,0.8125
-3.75,1.5,0.88392,-0.809438,0.0041841,0.0041841,0.0041841,0.179758,False,Cardboard box,0,0.25,0,0.25,0,0.25,0,0.25
-1,1.75,3.55186,-1.75746,0.0041841,0.0041841,0.0041841,0.0449396,True,empty floor,0,0.0625,0,0.0625,0,0.0625,3,0.8125
-0.5,1.75,4.04157,-2.52389,0.0041841,0.0041841,0.0041841,0.0449396,True,empty floor,0,0.0625,0,0.0625,0,0.0625,3,0.8125
-0.75,1,3.71858,-1.99847,0.0041841,0.0041841,0.0041841,0.0449396,True,empty floor,0,0.0625,0,0.0625,0,0.0625,3,0.8125
0,2.25,4.6441,-3.70552,0.0041841,0.0041841,0.0041841,0.0449396,True,empty floor,0,0.0625,0,0.0625,0,0.0625,3,0.8125
-3,2.25,1.93812,-0.513403,0.0041841,0.0041841,0.0041841,0.179758,False,Cardboard box,0,0.25,0,0.25,0,0.25,0,0.25
-2.75,2.25,2.1338,-0.559073,0.0041841,0.0041841,0.0041841,0.179758,False,Cardboard box,0,0.25,0,0.25,0,0.25,0,0.25
-2.5,2.25,2.33984,-0.638231,0.0041841,0.0041841,0.0041841,0.179758,False,Cardboard box,0,0.25,0,0.25,0,0.25,0,0.25
-2.25,2.25,2.55375,-0.754377,0.0041841,0.0041841,0.0041841,0.179758,False,Cardboard box,0,0.25,0,0.25,0,0.25,0,0.25
-2,2.25,2.7737,-0.910148,0.0041841,0.0041841,0.0041841,0.0449396,True,empty floor,0,0.0625,0,0.0625,0,0.0625,3,0.8125
-1.75,2.25,2.99836,-1.10743,0.0041841,0.0041841,0.0041841,0.0449396,True,empty floor,0,0.0625,0,0.0625,0,0.0625,3,0.8125
-1.5,2.25,3.22676,-1.3475,0.0041841,0.0041841,0.0041841,0.0449396,True,empty floor,0,0.0625,0,0.0625,0,0.0625,3,0.8125
-1.25,2.25,3.45814,-1.6311,0.0041841,0.0041841,0.0041841,0.0449396,True,empty floor,0,0.0625,0,0.0625,0,0.0625,3,0.8125
-1,2.25,3.69195,-1.95859,0.0041841,0.0041841,0.0041841,0.0449396,True,empty floor,0,0.0625,0,0.0625,0,0.0625,3,0.8125
-0.75,2.25,3.92776,-2.33001,0.0041841,0.0041841,0.0041841,0.0449396,True,empty floor,0,0.0625,0,0.0625,0,0.0625,3,0.8125
-0.5,2.25,4.16522,-2.7452,0.0041841,0.0041841,0.0041841,0.0449396,True,empty floor,0,0.0625,0,0.0625,0,0.0625,3,0.8125
-0.25,2.25,4.40407,-3.20385,0.0041841,0.0041841,0.0041841,0.0449396,True,empty floor,0,0.0625,0,0.0625,0,0.0625,3,0.8125
-4.5,2.5,1.51511,-0.513436,0.0041841,0.0041841,0.0041841,0.0449396,True,empty floor,0,0.0625,0,0.0625,0,0.0625,3,0.8125
-3.5,2.25,1.59303,-0.503062,0.0041841,0.0041841,0.0041841,0.0449396,True,empty floor,0,0.0625,0,0.0625,0,0.0625,3,0.8125
-3.25,2.5,1.94407,-0.514369,0.0041841,0.0041841,0.0041841,0.0449396,True,empty floor,0,0.0625,0,0.0625,0,0.0625,3,0.8125
-3,2.5,2.10979,-0.551926,0.0041841,0.0041841,0.0041841,0.0449396,True,empty floor,0,0.0625,0,0.0625,0,0.0625,3,0.8125
-2.75,2.5,2.29085,-0.616508,0.0041841,0.0041841,0.0041841,0.0449396,True,empty floor,0,0.0625,0,0.0625,0,0.0625,3,0.8125
-2.5,2.5,2.4839,-0.712628,0.0041841,0.0041841,0.0041841,0.179758,False,Cardboard box,0,0.25,0,0.25,0,0.25,0,0.25
-2.25,2.5,2.68636,-0.843869,0.0041841,0.0041841,0.0041841,0.179758,False,Cardboard box,0,0.25,0,0.25,0,0.25,0,0.25
-2,2.5,2.89626,-1.01298,0.0041841,0.0041841,0.0041841,0.179758,False,Cardboard box,0,0.25,0,0.25,0,0.25,0,0.25
-1.75,2.5,3.11209,-1.222,0.0041841,0.0041841,0.0041841,0.179758,False,Cardboard box,0,0.25,0,0.25,0,0.25,0,0.25
-1.5,2.5,3.33269,-1.47232,0.0041841,0.0041841,0.0041841,0.0449396,True,empty floor,0,0.0625,0,0.0625,0,0.0625,3,0.8125
