x,y,dist_robot,olf_loglik,olf_post,vis_post,fused,vis_like,observed,mle_class,ev_Cardboard_box,post_Cardboard_box,ev_First_aid_box,post_First_aid_box,ev_Humidifier,post_Humidifier,ev_empty_floor,post_empty_floor
-1.75,0.75,2.77585,-0.859481,0.00423586,0.0265158,0.0334469,0.0883297,True,empty floor,0,0.03125,0,0.03125,1,0.15625,6,0.78125
-2.5,1,2.01404,-0.484005,0.00627028,0.0192842,0.0295955,0.0642398,True,empty floor,0,0.0227273,0,0.0227273,1,0.113636,9,0.840909
-2.5,1.5,2.07374,-0.497779,0.00623201,0.0136411,0.0208711,0.0454415,True,empty floor,0,0.05,1,0.25,0,0.05,3,0.65
-3.25,1,1.26404,-0.558549,0.00633626,0.012478,0.0192506,0.0415669,True,empty floor,0,0.0147059,0,0.0147059,1,0.0735294,15,0.897059
-4.25,1,0.264095,-2.31315,0.00532513,0.0134905,0.0190798,0.0449396,True,empty floor,0,0.0625,0,0.0625,0,0.0625,3,0.8125
-5,0.5,0.701547,-1.05341,0.00631207,0.00770884,0.0118701,0.0256798,True,empty floor,0,0.0357143,0,0.0357143,0,0.0357143,6,0.892857
-5,2.25,1.33559,-0.529206,0.00630048,0.00770884,0.0118592,0.0256798,True,empty floor,0,0.0357143,0,0.0357143,0,0.0357143,6,0.892857
-5,2,1.10647,-0.644341,0.00628933,0.00770884,0.0118487,0.0256798,True,empty floor,0,0.0357143,0,0.0357143,0,0.0357143,6,0.892857
-4.75,1.75,0.780559,-0.944734,0.00627795,0.00770884,0.011838,0.0256798,True,empty floor,0,0.0357143,0,0.0357143,0,0.0357143,6,0.892857
-4.75,1.5,0.547499,-1.32987,0.00624525,0.00770884,0.0118071,0.0256798,True,empty floor,0,0.0357143,0,0.0357143,0,0.0357143,6,0.892857
-5,1.25,0.543804,-1.33785,0.00623651,0.00770884,0.0117989,0.0256798,True,empty floor,0,0.0357143,0,0.0357143,0,0.0357143,6,0.892857
-4.5,1.25,0.244439,-2.43321,0.00570348,0.00770884,0.0112834,0.0256798,True,empty floor,0,0.0357143,0,0.0357143,0,0.0357143,6,0.892857
-0.25,0.75,4.2717,-2.84208,2.27518e-05,0.106063,0.00980514,0.353319,True,Humidifier,0,0.125,0,0.125,1,0.625,0,0.125
-5,-0.25,1.34671,-0.525138,0.00633292,0.00539619,0.00832281,0.0179758,True,empty floor,0,0.025,0,0.025,0,0.025,9,0.925
-5,0,1.1172,-0.637488,0.00632774,0.00539619,0.0083194,0.0179758,True,empty floor,0,0.025,0,0.025,0,0.025,9,0.925
-4.75,0.25,0.791937,-0.930527,0.00632737,0.00539619,0.00831916,0.0179758,True,empty floor,0,0.025,0,0.025,0,0.025,9,0.925
-5,0.25,0.898694,-0.812267,0.0063258,0.00539619,0.00831813,0.0179758,True,empty floor,0,0.025,0,0.025,0,0.025,9,0.925
-4.75,0.5,0.558285,-1.30699,0.00632003,0.00539619,0.00831434,0.0179758,True,empty floor,0,0.025,0,0.025,0,0.025,9,0.925
-4.75,2.25,1.26622,-0.557573,0.00630328,0.00539619,0.00830331,0.0179758,True,empty floor,0,0.025,0,0.025,0,0.025,9,0.925
-4.75,2,1.02166,-0.70436,0.00629386,0.00539619,0.00829711,0.0179758,True,empty floor,0,0.025,0,0.025,0,0.025,9,0.925
-5,0.75,0.54926,-1.32609,0.0062875,0.00539619,0.00829291,0.0179758,True,empty floor,0,0.025,0,0.025,0,0.025,9,0.925
-5,1.75,0.888684,-0.822294,0.00627912,0.00539619,0.00828738,0.0179758,True,empty floor,0,0.025,0,0.025,0,0.025,9,0.925
-5,1.5,0.692994,-1.06633,0.00625589,0.00539619,0.00827204,0.0179758,True,empty floor,0,0.025,0,0.025,0,0.025,9,0.925
-5,1,0.486009,-1.47348,0.00624316,0.00539619,0.00826362,0.0179758,True,empty floor,0,0.025,0,0.025,0,0.025,9,0.925
