x,y,dist_robot,olf_loglik,olf_post,vis_post,fused,vis_like,observed,mle_class,ev_Cardboard_box,post_Cardboard_box,ev_First_aid_box,post_First_aid_box,ev_Humidifier,post_Humidifier,ev_empty_floor,post_empty_floor
-1.75,0.75,1.21061,-0.528161,0.0044512,0.0413734,0.0604944,0.0883297,True,empty floor,0,0.03125,0,0.03125,1,0.15625,6,0.78125
-1.75,1,1.17563,-0.553559,0.00412905,0.0213991,0.0301354,0.0456858,True,empty floor,0,0.00925926,0,0.00925926,2,0.0833333,24,0.898148
-2.5,1,0.426947,-2.01567,0.00177772,0.0300898,0.0278039,0.0642398,True,empty floor,0,0.0227273,0,0.0227273,1,0.113636,9,0.840909
-2.25,0.75,0.735326,-1.11254,0.00339379,0.0194698,0.0248577,0.0415669,True,empty floor,0,0.0147059,0,0.0147059,1,0.0735294,15,0.897059
-2.5,1.5,0.624757,-1.35916,0.00237589,0.0212847,0.0227371,0.0454415,True,empty floor,0,0.05,1,0.25,0,0.05,3,0.65
-5,2.25,2.40114,-0.528852,0.00988602,0.0064768,0.0141132,0.0138276,True,empty floor,0,0.0192308,0,0.0192308,0,0.0192308,12,0.942308
-1.25,0.75,1.70014,-0.354484,0.00280358,0.0114134,0.0132442,0.0243668,True,empty floor,0,0.00862069,0,0.00862069,1,0.0431034,27,0.939655
-5,2,2.2856,-0.472103,0.00810845,0.0064768,0.0127816,0.0138276,True,empty floor,0,0.0192308,0,0.0192308,0,0.0192308,12,0.942308
-4.75,2.25,2.1887,-0.432577,0.0109761,0.0052624,0.0120826,0.0112349,True,empty floor,0,0.015625,0,0.015625,0,0.015625,15,0.953125
-4.75,1.75,1.95765,-0.369304,0.0067884,0.0064768,0.011695,0.0138276,True,empty floor,0,0.0192308,0,0.0192308,0,0.0192308,12,0.942308
-3.25,1,0.327817,-2.53174,0.000685039,0.0194698,0.011168,0.0415669,True,empty floor,0,0.0147059,0,0.0147059,1,0.0735294,15,0.897059
-4.75,2,2.06129,-0.392149,0.00894978,0.0052624,0.0109105,0.0112349,True,empty floor,0,0.015625,0,0.015625,0,0.015625,15,0.953125
-4.5,2.5,2.14636,-0.417667,0.0123174,0.00443149,0.0107787,0.00946097,True,empty floor,0,0.0131579,0,0.0131579,0,0.0131579,18,0.960526
-4.75,1.5,1.88172,-0.358526,0.00330011,0.00841984,0.0106004,0.0179758,True,empty floor,0,0.025,0,0.025,0,0.025,9,0.925
-0.25,0.75,2.69077,-0.715593,5.96773e-06,0.192592,0.0103109,0.411172,True,Humidifier,0,0.0833333,0,0.0833333,2,0.75,0,0.0833333
-5,-0.25,2.44444,-0.552763,0.00740497,0.0052624,0.00992432,0.0112349,True,empty floor,0,0.015625,0,0.015625,0,0.015625,15,0.953125
-4.5,2.25,1.98503,-0.374442,0.0118156,0.0038272,0.00911725,0.00817084,True,empty floor,0,0.0113636,0,0.0113636,0,0.0113636,21,0.965909
-5,0,2.32203,-0.488877,0.005968,0.0052624,0.00890951,0.0112349,True,empty floor,0,0.015625,0,0.015625,0,0.015625,15,0.953125
-5,1.75,2.19259,-0.434018,0.00581658,0.0052624,0.00879575,0.0112349,True,empty floor,0,0.015625,0,0.015625,0,0.015625,15,0.953125
