step,robot_id,robot_x,robot_z,robot_yaw,step_time,listen_s,behavior_flag,is_random,target_object,target_coordinate,target_coord_estimation_error,concentration,sound_active,sound_detected,sound_doa_deg,sound_level_db,n_doa_samples,doa_sigma_eff,gt_distance_from_source,Bayesian_entropy,visual_entropy,sound_entropy,fused_entropy,semantic_entropy,trigger_stat,trigger_V,trigger_O,trigger_A,dist_to_target
0,0,-9.313139452335473e-13,2.0,270.0,1.7726311683654785,0.0,Initialization,False,oven,"-0.40, 0.25, -2.64",3.119400772538864,6.1001765068167,False,False,,,,,2.6113076765591274,8.71711757669648,8.906878093594614,8.915879378835774,8.692136306936499,1.3870997249257626,0.9749051033114704,,,,
1,0,-0.25,2.0,181.85159301757812,0.7655770778656006,0.0,search,False,refrigerator,"-1.70, 0.95, 1.13",1.004030748706195,6.304793795117814,False,False,,,,,2.4429610195996605,8.554560706706567,8.89672744512165,8.915879378835774,8.521221873070687,1.3864556062366027,0.9557354368541692,,,,
2,0,-0.5,2.0,234.05789184570312,0.7963521480560303,0.0,search,False,refrigerator,"-1.94, 0.96, 1.08",0.9527556457682315,6.880457967443576,False,False,,,,,2.2895827796580748,8.397387617115605,8.888801485179513,8.915879378835774,8.37024383745203,1.385664321130714,0.9388018255743841,,,,
3,0,-0.75,2.0,232.29205322265625,0.8022570610046387,0.0,search,False,refrigerator,"-1.94, 0.96, 1.08",0.9527556457682315,7.404560336918666,False,False,,,,,2.154372313814439,8.249843645442034,8.879599584958351,8.915879378835774,8.229495739837393,1.3785839953883874,0.9230155983684912,,,,
4,0,-1.0,2.0,225.61605834960938,1.037402629852295,0.0,search,False,toaster,"-1.82, 0.99, 0.12",0.015537685786249101,7.67246794861992,False,False,,,,,2.0409436121935265,8.1052633725836,8.870298423239227,8.915879378835774,8.090901307306796,1.3712377970550347,0.9074709250231352,,,,
5,0,-1.25,2.0,196.86685180664062,0.9156825542449951,0.0,search,False,toaster,"-1.82, 0.99, 0.12",0.015537685786249101,8.137456644363898,False,False,,,,,1.9530953867583998,7.944869891437082,8.85924146549612,8.915879378835774,7.948831103372678,1.3613651382117298,0.891536411118499,,,,
6,0,-1.25,1.75,199.27438354492188,0.9547476768493652,0.0,search,False,toaster,"-1.82, 0.99, 0.12",0.015537685786249101,9.08562894585996,False,False,,,,,1.715832688511118,7.781821675192852,8.84949397922492,8.915879378835774,7.820910508842475,1.3513898286646588,0.8771889094201408,,,,
7,0,-1.25,1.5,202.4427490234375,1.0520617961883545,0.0,search,False,toaster,"-1.82, 0.99, 0.12",0.015537685786249101,10.689079842402217,False,False,,,,,1.4827616262061947,7.584124534452009,8.839850470119085,8.915879378835774,7.67784142982955,1.342277061500757,0.8611423622503195,,,,
8,0,-1.25,1.25,206.7675018310547,1.0764472484588623,0.0,search,False,toaster,"-1.82, 0.99, 0.12",0.015537685786249101,12.493976260616213,False,False,,,,,1.2562174434929596,7.34220392612857,8.83101738057039,8.915879378835774,7.486966600696882,1.33484873390789,0.8397339491233138,,,,
9,0,-1.25,1.0,212.93223571777344,1.1665198802947998,0.0,search,False,toaster,"-1.83, 0.99, 0.12",0.014375331110187042,15.142305654182548,False,False,,,,,1.0404722439942045,7.0453901240333305,8.822315651867743,8.915879378835774,7.20197434481717,1.327463076624541,0.8077693785217624,,,,
10,0,-1.25,0.75,222.6337432861328,1.2040302753448486,0.0,search,False,toaster,"-1.83, 0.99, 0.12",0.014375331110187042,18.592026926024342,False,False,,,,,0.8438499367237536,6.717136948060079,8.814295733789947,8.915879378835774,6.846663746145479,1.3182182595144638,0.7679179422725108,,,,
11,0,-1.25,0.5,236.76828002929688,1.0753507614135742,0.0,search,False,toaster,"-1.83, 0.99, 0.12",0.014375331110187042,23.231534795103695,False,False,,,,,0.6830687673250996,6.379246374255059,8.80726171636174,8.915879378835774,6.44071867385098,1.3105293356797039,0.7223873720341877,,,,
12,0,-1.25,0.0,281.6893615722656,1.1000659465789795,0.0,goal_navigation,False,toaster,"-1.83, 0.99, 0.12",0.014375331110187042,26.9852987305856,False,False,,,,,0.5921008286328664,6.060283907747438,8.799993241960575,8.915879378835774,6.023350954249856,1.3037414110874264,0.6755756441196246,,,,0.592
