step,robot_id,robot_x,robot_z,robot_yaw,step_time,listen_s,behavior_flag,is_random,target_object,target_coordinate,target_coord_estimation_error,concentration,sound_active,sound_detected,sound_doa_deg,sound_level_db,n_doa_samples,doa_sigma_eff,gt_distance_from_source,Bayesian_entropy,visual_entropy,sound_entropy,fused_entropy,semantic_entropy,trigger_stat,trigger_V,trigger_O,trigger_A,dist_to_target
0,1,1.5,-0.25,270.0,2.9126932621002197,2.0,Initialization,False,PaperTowelRoll,"-1.50, 0.10, -1.45",0.9875972744309989,,True,True,80.9709178698741,90.77905250867852,20.0,12.5,2.8002430604611894,8.546894459887639,8.3731162186405,6.512138184254754,6.221158958476703,1.2724841289936262,0.7278853140955351,,,,
1,1,1.25,-0.25,275.23748779296875,0.7101030349731445,0.0,search,False,PaperTowelRoll,"-1.48, 0.11, -1.45",0.9835462803730162,,False,False,,,,,2.551210464271876,8.546894459887639,8.323977102890005,6.512138184254754,6.084384116826247,1.2068196150915973,0.711882444013031,,,,
2,1,-0.75,-1.25,253.73977661132812,0.729668378829956,0.0,goal_navigation,False,Stool,"-1.22, -0.14, -1.12",0.6389801462911581,,False,False,,,,,0.9366804211222999,8.546894459887639,8.291959850317875,6.512138184254754,5.977559644254379,1.1619983766534807,0.6993838138879934,,,,0.488
