,Total Distance Traveled,Steps Taken,Final Distance from Source,Total Step Time,Final Target
,0.7,0.7,0.7,0.7,0.7
Run Number,,,,,
1,4.47,4,0.823,8.46,GarbageCan
2,3.72,2,0.854,4.65,GarbageCan
3,3.55,4,0.874,8.78,GarbageCan
4,2.83,1,0.934,3.82,GarbageCan
5,2.5,1,0.161,3.73,GarbageCan
