step,fused_entropy,Bayesian_entropy,visual_entropy,sound_entropy,semantic_entropy,target_coord_estimation_error,step_time,min_gt_distance,any_sound_detected,trigger_stat,trigger_V,trigger_O,trigger_A,dist_to_target,target_object
0,8.646413511895831,8.684467835308826,8.902685607367138,8.915879378835774,1.4560174090976932,0.26650134230587386,1.24700927734375,3.892592372670523,False,0.969776860420567,,,,,
1,8.426697809016586,8.487978405619819,8.894542707236408,8.915879378835774,1.4594141343659834,0.1165037508044432,1.0754225254058838,3.6503800682370713,False,0.9451336711687249,,,,,
2,8.25369422180892,8.333790544136654,8.885285319615218,8.915879378835774,1.4544326450488063,0.1465028745498517,1.120006799697876,3.409292288055138,False,0.9257296864514871,,,,,
3,8.102843382390736,8.199155148788343,8.87529414704776,8.915879378835774,1.4487991263863629,0.12650341254208294,1.3601045608520508,3.1695856461376763,False,0.9088103414257716,,,,,
4,7.972281938822533,8.07867316347232,8.865901122239592,8.915879378835774,1.440888976703881,0.1465028745498517,1.1937487125396729,2.931598954668211,False,0.8941666435895127,,,,,
5,7.853940547157221,7.9699690638349105,8.855554502310614,8.915879378835774,1.433114742599674,0.12650341254208294,1.2145969867706299,2.683657238004424,False,0.8808935398790444,,,,,
6,7.733857275157231,7.857705519000459,8.845134825968003,8.915879378835774,1.4237540363393462,0.1465028745498517,1.2451295852661133,2.4336733361167737,False,0.8674250678531622,,,,,
7,7.596907534077619,7.730620927906721,8.835260036714697,8.915879378835774,1.413189299413547,0.12650341254208294,1.4977693557739258,2.183693120096769,False,0.852064862172868,,,,,
8,7.404897950127262,7.541861234389076,8.826235278457634,8.915879378835774,1.403628176820739,0.1465028745498517,1.2452645301818848,1.9337180194098043,False,0.8305291755858395,,,,,
9,7.126718586791053,7.280916784725304,8.818492722737489,8.915879378835774,1.3955775285527459,0.12697670612038478,1.2630858421325684,1.6837503123748456,False,0.799328735167529,,,,,
10,6.684150003812183,6.911561624222943,8.812337712395301,8.915879378835774,1.3889979193597373,0.1469117516189897,1.2747445106506348,1.4337938660262863,False,0.749690492637081,,,,,
11,6.049290593613555,6.449662209141104,8.807299872287611,8.915879378835774,1.3834497316608083,0.21230320922128512,1.5425734519958496,1.1838558130476948,False,0.6784850194332109,,,,0.475,GarbageCan
