step,robot_id,robot_x,robot_z,robot_yaw,step_time,listen_s,behavior_flag,is_random,target_object,target_coordinate,target_coord_estimation_error,concentration,sound_active,sound_detected,sound_doa_deg,sound_level_db,n_doa_samples,doa_sigma_eff,gt_distance_from_source,Bayesian_entropy,visual_entropy,sound_entropy,fused_entropy,semantic_entropy,trigger_stat,trigger_V,trigger_O,trigger_A,dist_to_target
0,1,0.5,-0.25,270.0,2.8995449542999268,2.0,Initialization,False,Book,"-1.15, 0.17, -0.27",0.2566894198706588,,True,True,85.58532158226119,82.89881820619362,20.0,12.5,1.8057175136377623,8.546894459887639,8.533727943715899,6.287149227427335,6.284917190093965,1.4774086324844156,0.7353451267697751,,,,
1,1,0.5,0.0,48.64626693725586,0.6930344104766846,0.0,search,False,Book,"-1.15, 0.17, -0.27",0.2566894198706588,,False,False,,,,,1.854877129402594,8.546894459887639,8.524258432291989,6.287149227427335,6.285874353992108,1.4686699189524133,0.7354571164407177,,,,
2,1,0.5,0.25,286.8986511230469,0.7318744659423828,0.0,search,False,Book,"-1.15, 0.17, -0.27",0.2566894198706588,,False,False,,,,,1.9353352658657035,8.546894459887639,8.51324043424301,6.287149227427335,6.293313989823507,1.4563308072760834,0.7363275654519129,,,,
3,1,-0.75,-0.5,272.2026062011719,2.7225260734558105,2.0,goal_navigation,False,Book,"-1.15, 0.17, -0.27",0.2566894198706588,,True,True,15.144692392122343,87.2662848208407,20.0,12.5,0.5405834715211383,8.546894459887639,8.501390238685232,5.008128229376559,4.9175863225508465,1.4412855983604438,0.5753652798253338,,,,0.461
