x,y,dist_robot,snd_loglik,snd_post,vis_post,fused,vis_like,observed,mle_class,vis_phrase_source,ev_tv,post_tv,sim_tv,ev_chair,post_chair,sim_chair,ev_couch,post_couch,sim_couch,ev_toilet,post_toilet,sim_toilet,ev_microwave,post_microwave,sim_microwave,ev_oven,post_oven,sim_oven,ev_sink,post_sink,sim_sink,ev_refrigerator,post_refrigerator,sim_refrigerator,ev_clock,post_clock,sim_clock,ev_empty_floor,post_empty_floor,sim_empty_floor
-2.25,1.75,5.28162,-2.99572,0.00236407,0.00236407,0.00236407,0.0880577,True,empty floor,sound_similarity,0,0.0666667,0.251411,0,0.0666667,0.0217513,0,0.0666667,0.13223,0,0.0666667,0.10022,0,0.0666667,0.160728,0,0.0666667,0.168142,0,0.0666667,0.132888,0,0.0666667,0.145598,0,0.0666667,0.207897,0.5,0.4,0
1.5,5.5,1.1955,-2.99573,0.00236407,0.00236407,0.00236407,0.132158,True,couch,sound_similarity,0,0.05,0.251411,0,0.05,0.0217513,1,0.55,0.13223,0,0.05,0.10022,0,0.05,0.160728,0,0.05,0.168142,0,0.05,0.132888,0,0.05,0.145598,0,0.05,0.207897,0,0.05,0
-1.5,6,2.06391,-0.351068,0.00236407,0.00236407,0.00236407,0.0880577,True,empty floor,sound_similarity,0,0.0666667,0.251411,0,0.0666667,0.0217513,0,0.0666667,0.13223,0,0.0666667,0.10022,0,0.0666667,0.160728,0,0.0666667,0.168142,0,0.0666667,0.132888,0,0.0666667,0.145598,0,0.0666667,0.207897,0.5,0.4,0
-1.75,6,2.31255,-0.302647,0.00236407,0.00236407,0.00236407,0.0880577,True,empty floor,sound_similarity,0,0.0666667,0.251411,0,0.0666667,0.0217513,0,0.0666667,0.13223,0,0.0666667,0.10022,0,0.0666667,0.160728,0,0.0666667,0.168142,0,0.0666667,0.132888,0,0.0666667,0.145598,0,0.0666667,0.207897,0.5,0.4,0
-2,6,2.56146,-0.266145,0.00236407,0.00236407,0.00236407,0.0880577,True,empty floor,sound_similarity,0,0.0666667,0.251411,0,0.0666667,0.0217513,0,0.0666667,0.13223,0,0.0666667,0.10022,0,0.0666667,0.160728,0,0.0666667,0.168142,0,0.0666667,0.132888,0,0.0666667,0.145598,0,0.0666667,0.207897,0.5,0.4,0
-2.25,6,2.81056,-0.237814,0.00236407,0.00236407,0.00236407,0.0880577,True,empty floor,sound_similarity,0,0.0666667,0.251411,0,0.0666667,0.0217513,0,0.0666667,0.13223,0,0.0666667,0.10022,0,0.0666667,0.160728,0,0.0666667,0.168142,0,0.0666667,0.132888,0,0.0666667,0.145598,0,0.0666667,0.207897,0.5,0.4,0
2,5.75,1.52533,-2.99573,0.00236407,0.00236407,0.00236407,0.0880577,True,empty floor,sound_similarity,0,0.0666667,0.251411,0,0.0666667,0.0217513,0,0.0666667,0.13223,0,0.0666667,0.10022,0,0.0666667,0.160728,0,0.0666667,0.168142,0,0.0666667,0.132888,0,0.0666667,0.145598,0,0.0666667,0.207897,0.5,0.4,0
1.75,5.75,1.29028,-2.99573,0.00236407,0.00236407,0.00236407,0.0880577,True,empty floor,sound_similarity,0,0.0666667,0.251411,0,0.0666667,0.0217513,0,0.0666667,0.13223,0,0.0666667,0.10022,0,0.0666667,0.160728,0,0.0666667,0.168142,0,0.0666667,0.132888,0,0.0666667,0.145598,0,0.0666667,0.207897,0.5,0.4,0
1.5,5.75,1.06206,-2.99573,0.00236407,0.00236407,0.00236407,0.0880577,True,empty floor,sound_similarity,0,0.0666667,0.251411,0,0.0666667,0.0217513,0,0.0666667,0.13223,0,0.0666667,0.10022,0,0.0666667,0.160728,0,0.0666667,0.168142,0,0.0666667,0.132888,0,0.0666667,0.145598,0,0.0666667,0.207897,0.5,0.4,0
1.25,5.75,0.846253,-2.99573,0.00236407,0.00236407,0.00236407,0.0880577,True,empty floor,sound_similarity,0,0.0666667,0.251411,0,0.0666667,0.0217513,0,0.0666667,0.13223,0,0.0666667,0.10022,0,0.0666667,0.160728,0,0.0666667,0.168142,0,0.0666667,0.132888,0,0.0666667,0.145598,0,0.0666667,0.207897,0.5,0.4,0
