step,fused_entropy,Bayesian_entropy,visual_entropy,sound_entropy,semantic_entropy,target_coord_estimation_error,step_time,min_gt_distance,any_sound_detected,trigger_stat,trigger_V,trigger_O,trigger_A,dist_to_target,target_object
0,7.574319963657047,8.446317224280877,8.623626695835325,6.718138562807132,1.3974310268711165,3.9125141025838652,2.9922592639923096,3.1297730468242264,True,0.8766325514573504,,,,,
1,7.491509287521987,8.360635697555697,8.615999033455505,6.718138562807132,1.3915567395856667,3.9125141025838652,0.7622952461242676,2.903909935944894,False,0.8670482541664376,,,,,
2,7.415987164823078,8.280805731368776,8.606939002963834,6.718138562807132,1.3830389201717694,3.9125141025838652,0.7641327381134033,2.6826506101470815,False,0.8583075155350246,,,,,
3,7.365689886894544,8.230383401507094,8.596546155462262,6.718138562807132,1.3708024136029022,3.9100482020822818,1.001307725906372,2.8122281262571738,False,0.8524862363583576,,,,,
4,6.811676726605167,8.199519193647447,8.586054251298059,6.171058996221765,1.360327947685531,3.4521770227018527,3.0207579135894775,2.957302786679335,True,0.7883661605527751,,,,,
5,6.794974390390267,8.183709958786894,8.57479688956032,6.171058996221765,1.3481602972536508,4.01615645769213,0.8717222213745117,3.115710594726472,False,0.7864330745884085,,,,,
6,6.783559442951766,8.160503814248663,8.570017558838947,6.171058996221765,1.343114739034885,3.9100482020822818,0.8185186386108398,3.2855235881180658,False,0.7851119375694051,,,,,
7,6.775469811186264,8.148359279256248,8.563656221763436,6.171058996221765,1.3371174275752895,3.9100482020822818,0.8624649047851562,3.4650653653386736,False,0.7841756641390549,,,,,
8,6.084311518248048,8.1362770128498,8.55730995827733,5.527699061594204,1.3325928747855478,3.895964094156247,2.840822458267212,3.3008482797778917,True,0.7041827590721297,,,,,
9,6.076480413800125,8.116498543613389,8.55275898118358,5.527699061594204,1.3302444918306453,3.791923090373229,1.093135118484497,3.147939126818639,False,0.7032764069367761,,,,,
10,6.070787028120528,8.105216477102726,8.548231216967263,5.527699061594204,1.3268336342946812,3.791923090373229,0.873765230178833,3.3008482797778917,False,0.7026174689411958,,,,,
11,6.065284601828616,8.088983933171523,8.543830820152333,5.527699061594204,1.3232286288726165,3.7772427574971643,0.8665196895599365,3.147939126818639,False,0.7019806321000498,,,,,
12,6.020542139579934,8.056392235477125,8.5406718271684,5.555991169381612,1.3209586750279319,3.7772427574971643,2.899665594100952,3.00806285276733,True,0.6968022531792035,,,,0.744,toilet
