,Total Distance Traveled,Steps Taken,Final Distance from Source,Total Step Time,Final Target
,0.7,0.7,0.7,0.7,0.7
Run Number,,,,,
1,2.45,3,0.257,7.58,laptop
2,2.8,3,0.025,7.53,clock
3,3.16,3,0.015,7.73,clock
4,3.55,3,0.039,7.35,vase
5,3.27,9,1.662,18.14,bed
