x,y,dist_robot,snd_loglik,snd_post,vis_post,fused,vis_like,observed,mle_class,ev_chair,post_chair,ev_couch,post_couch,ev_toilet,post_toilet,ev_microwave,post_microwave,ev_oven,post_oven,ev_sink,post_sink,ev_refrigerator,post_refrigerator,ev_tv,post_tv,ev_empty_floor,post_empty_floor
-1.25,6,1.81955,-2.99509,0.00236407,0.00236407,0.00236407,0.123181,True,empty floor,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0.5,0.407407
-1,6,1.58554,-2.99383,0.00236407,0.00236407,0.00236407,0.123181,True,empty floor,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0.5,0.407407
-0.75,6,1.35724,-2.98817,0.00236407,0.00236407,0.00236407,0.123181,True,empty floor,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0.5,0.407407
-2,6.25,2.49298,-2.99572,0.00236407,0.00236407,0.00236407,0.123181,True,empty floor,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0.5,0.407407
0.5,6.25,0.348949,-2.06705,0.00236407,0.00236407,0.00236407,0.123181,True,empty floor,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0.5,0.407407
0.25,6.25,0.410587,-0.617893,0.00236407,0.00236407,0.00236407,0.123181,True,empty floor,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0.5,0.407407
0,6.25,0.583436,-2.83173,0.00236407,0.00236407,0.00236407,0.0923859,True,empty floor,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,1,0.555556
-0.25,6.25,0.798256,-2.98892,0.00236407,0.00236407,0.00236407,0.123181,True,empty floor,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0.5,0.407407
-0.5,6.25,1.02909,-2.99494,0.00236407,0.00236407,0.00236407,0.123181,True,empty floor,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0.5,0.407407
-0.75,6.25,1.26722,-2.99555,0.00236407,0.00236407,0.00236407,0.123181,True,empty floor,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0.5,0.407407
-1,6.25,1.50919,-2.99567,0.00236407,0.00236407,0.00236407,0.123181,True,empty floor,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0.5,0.407407
-1.25,6.25,1.75342,-2.9957,0.00236407,0.00236407,0.00236407,0.123181,True,empty floor,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0.5,0.407407
-1.5,6.25,1.99907,-2.99572,0.00236407,0.00236407,0.00236407,0.123181,True,empty floor,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0.5,0.407407
-1.75,6.25,2.24569,-2.99572,0.00236407,0.00236407,0.00236407,0.123181,True,empty floor,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0.5,0.407407
-2.25,6.25,2.74076,-2.99573,0.00236407,0.00236407,0.00236407,0.123181,True,empty floor,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0.5,0.407407
-0.5,6,1.13811,-2.9523,0.00236407,0.00236407,0.00236407,0.123181,True,empty floor,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0.5,0.407407
2,6,1.64382,-2.99573,0.00236407,0.00236407,0.00236407,0.184772,False,chair,0,0.111111,0,0.111111,0,0.111111,0,0.111111,0,0.111111,0,0.111111,0,0.111111,0,0.111111,0,0.111111
1.75,6,1.41384,-2.99573,0.00236407,0.00236407,0.00236407,0.184772,False,chair,0,0.111111,0,0.111111,0,0.111111,0,0.111111,0,0.111111,0,0.111111,0,0.111111,0,0.111111,0,0.111111
1.5,6,1.19196,-2.99573,0.00236407,0.00236407,0.00236407,0.184772,False,chair,0,0.111111,0,0.111111,0,0.111111,0,0.111111,0,0.111111,0,0.111111,0,0.111111,0,0.111111,0,0.111111
1.25,6,0.983659,-2.99573,0.00236407,0.00236407,0.00236407,0.184772,False,chair,0,0.111111,0,0.111111,0,0.111111,0,0.111111,0,0.111111,0,0.111111,0,0.111111,0,0.111111,0,0.111111
1,6,0.799626,-2.99572,0.00236407,0.00236407,0.00236407,0.184772,False,chair,0,0.111111,0,0.111111,0,0.111111,0,0.111111,0,0.111111,0,0.111111,0,0.111111,0,0.111111,0,0.111111
0.75,6,0.660468,-2.98922,0.00236407,0.00236407,0.00236407,0.184772,False,chair,0,0.111111,0,0.111111,0,0.111111,0,0.111111,0,0.111111,0,0.111111,0,0.111111,0,0.111111,0,0.111111
0.5,6,0.598359,-1.79676,0.00236407,0.00236407,0.00236407,0.123181,True,empty floor,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0.5,0.407407
0.25,6,0.636278,-0.00116127,0.00236407,0.00236407,0.00236407,0.123181,True,empty floor,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0.5,0.407407
0,6,0.759385,-1.28117,0.00236407,0.00236407,0.00236407,0.123181,True,empty floor,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0.5,0.407407
-0.25,6,0.934602,-2.65715,0.00236407,0.00236407,0.00236407,0.123181,True,empty floor,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0.5,0.407407
1.75,5.5,1.68715,-2.99573,0.00236407,0.00236407,0.00236407,0.184772,False,chair,0,0.111111,0,0.111111,0,0.111111,0,0.111111,0,0.111111,0,0.111111,0,0.111111,0,0.111111,0,0.111111
1.25,5.5,1.34726,-2.99558,0.00236407,0.00236407,0.00236407,0.184772,False,chair,0,0.111111,0,0.111111,0,0.111111,0,0.111111,0,0.111111,0,0.111111,0,0.111111,0,0.111111,0,0.111111
1,6.25,0.634928,-2.99573,0.00236407,0.00236407,0.00236407,0.184772,False,chair,0,0.111111,0,0.111111,0,0.111111,0,0.111111,0,0.111111,0,0.111111,0,0.111111,0,0.111111,0,0.111111
1,5.5,1.2194,-2.99045,0.00236407,0.00236407,0.00236407,0.184772,False,chair,0,0.111111,0,0.111111,0,0.111111,0,0.111111,0,0.111111,0,0.111111,0,0.111111,0,0.111111,0,0.111111
-1.5,5.25,2.38566,-2.9021,0.00236407,0.00236407,0.00236407,0.123181,True,empty floor,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0.5,0.407407
-1.75,5.25,2.5958,-2.9571,0.00236407,0.00236407,0.00236407,0.123181,True,empty floor,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0.5,0.407407
-2.25,5.25,3.03427,-2.98752,0.00236407,0.00236407,0.00236407,0.123181,True,empty floor,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0.5,0.407407
2,5,2.21296,-2.99573,0.00236407,0.00236407,0.00236407,0.184772,False,chair,0,0.111111,0,0.111111,0,0.111111,0,0.111111,0,0.111111,0,0.111111,0,0.111111,0,0.111111,0,0.111111
1.75,5,2.04793,-2.99569,0.00236407,0.00236407,0.00236407,0.184772,False,chair,0,0.111111,0,0.111111,0,0.111111,0,0.111111,0,0.111111,0,0.111111,0,0.111111,0,0.111111,0,0.111111
1.5,5,1.90154,-2.99531,0.00236407,0.00236407,0.00236407,0.184772,False,chair,0,0.111111,0,0.111111,0,0.111111,0,0.111111,0,0.111111,0,0.111111,0,0.111111,0,0.111111,0,0.111111
1,5,1.68359,-2.94063,0.00236407,0.00236407,0.00236407,0.184772,False,chair,0,0.111111,0,0.111111,0,0.111111,0,0.111111,0,0.111111,0,0.111111,0,0.111111,0,0.111111,0,0.111111
0.75,5,1.62213,-2.56909,0.00236407,0.00236407,0.00236407,0.123181,True,empty floor,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0.5,0.407407
0.5,5,1.59784,-1.55344,0.00236407,0.00236407,0.00236407,0.123181,True,empty floor,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0,0.0740741,0.5,0.407407
