step,phase,time,robot_x,robot_y,n_detections,n_depth_rejected,n_doa_samples,chemicalConc,H_fused,trigger,peak_object,q_s_map,L0_map,init_view,robot_yaw,yolo_raw,det_no_depth,det_off_class,best_detection,best_sim,level_db
0,pre_sensing,0.53,0.0,0.0,0,0,0,,8.725,1.0,unobserved,,,,,,,,,,
1,Initialization,12.59,0.5277798746345431,6.649873015113811,1,0,59,,,,,,,0.0,-176.4,15.0,0.0,4.0,,,
1,Initialization,28.03,0.468631795338195,6.597536372513696,1,0,58,,,,,,,1.0,-109.6,3.0,0.0,2.0,,,
1,Initialization,43.84,0.37327048266065244,6.569185180908876,1,0,58,,,,,,,2.0,-44.7,3.0,0.0,2.0,,,
1,Initialization,59.03,0.2570895366481343,6.616601972393539,1,0,59,,,,,,,3.0,18.6,2.0,0.0,1.0,,,
1,Initialization,75.11,0.3016264730942248,6.662520052494412,0,0,59,,,,,,,4.0,82.9,1.0,0.0,1.0,,,
1,Initialization,90.84,0.3096613904542891,6.545236187564828,0,0,60,,,,,,,5.0,148.5,11.0,0.0,3.0,,,
1,Initialization,96.2,0.3096613904542891,6.545236187564828,0,0,60,,6.894,0.7902,empty floor,,20.0,,148.5,11.0,0.0,3.0,,,
2,search,156.72,0.3562253029028755,6.616557031066483,0,0,60,,6.779,0.7771,empty floor,,20.0,,128.1,3.0,0.0,1.0,,,
3,search,229.11,0.384120107531315,6.5966784120018565,0,0,59,,5.807,0.6656,empty floor,,20.0,,130.5,6.0,0.0,1.0,,,
