step,robot_id,robot_x,robot_z,robot_yaw,step_time,listen_s,behavior_flag,is_random,target_object,target_coordinate,target_coord_estimation_error,concentration,sound_active,sound_detected,sound_doa_deg,sound_level_db,n_doa_samples,doa_sigma_eff,gt_distance_from_source,Bayesian_entropy,visual_entropy,sound_entropy,fused_entropy,semantic_entropy,trigger_stat,trigger_V,trigger_O,trigger_A,dist_to_target
0,0,2.0,1.5,270.0,1.3379085063934326,0.0,Initialization,False,GarbageCan,"-2.20, 0.15, 2.06",0.26829624855372647,3.8590569926576976,False,False,,,,,3.9689128191877625,8.698269093772707,8.814098859695765,8.915879378835774,8.480052520862932,1.3769774471013085,0.9511179055419487,,,,
1,0,2.0,1.75,274.2213134765625,1.069690227508545,0.0,search,False,GarbageCan,"-1.89, 0.16, 2.25",0.22523908251338104,3.7803516583533563,False,False,,,,,3.943382840800866,8.533654043177215,8.768229452384201,8.915879378835774,8.231913136126774,1.3221552994052512,0.9232867321721987,,,,
2,0,2.0,2.0,273.67718505859375,1.1401872634887695,0.0,search,False,GarbageCan,"-1.91, 0.15, 2.27",0.24214162009623025,3.8481346788236266,False,False,,,,,3.933607439988447,8.39161654545517,8.736233175130838,8.915879378835774,8.04081551091278,1.2828443927938276,0.9018533303624328,,,,
3,0,1.75,2.0,274.2190856933594,1.544281244277954,0.0,search,False,GarbageCan,"-1.90, 0.15, 2.28",0.2532242983244865,4.099588681437351,False,False,,,,,3.683614695888357,8.258399745237547,8.70762592688111,8.915879378835774,7.865593381519314,1.2499359026437211,0.8822005152055338,,,,
4,0,1.5,2.0,274.7078552246094,1.3024067878723145,0.0,search,False,GarbageCan,"-2.09, 0.17, 2.03",0.15650265711692593,4.511961233276525,False,False,,,,,3.433623008368404,8.118334605981968,8.685826364610591,8.915879378835774,7.690793560713651,1.2256748068047094,0.8625950659415389,,,,
5,0,1.25,2.0,270.5146179199219,1.407538890838623,0.0,search,False,GarbageCan,"-2.07, 0.17, 2.03",0.1365031238400094,4.904380512760586,False,False,,,,,3.1836326263294112,7.995211734262673,8.66958451299685,8.915879378835774,7.542821709997524,1.2041376288081487,0.8459986266640652,,,,
6,0,1.0,2.0,270.55987548828125,1.4650442600250244,0.0,search,False,GarbageCan,"-2.08, 0.16, 2.03",0.1465028745498517,5.310826491552656,False,False,,,,,2.933643883510969,7.87570257732714,8.652648072519714,8.915879378835774,7.394065320731389,1.182325594743484,0.8293141939855291,,,,
7,0,0.75,2.0,270.60736083984375,1.643810510635376,0.0,search,False,GarbageCan,"-2.06, 0.16, 2.03",0.12650341254208294,5.657804283675991,False,False,,,,,2.683657238004424,7.7521905676046385,8.63844081281076,8.915879378835774,7.247737021838497,1.1602704493485114,0.8129020945531117,,,,
8,0,0.5,2.0,270.6714172363281,1.378577470779419,0.0,search,False,GarbageCan,"-1.88, 0.14, 2.22",0.1983500524855256,6.321777694642773,False,False,,,,,2.4336733361167737,7.600866588402287,8.624572417165062,8.915879378835774,7.062579274393421,1.1413765641111795,0.7921349060821015,,,,
9,0,0.25,2.0,275.89697265625,1.493727684020996,0.0,search,False,GarbageCan,"-1.89, 0.12, 2.23",0.20565189828126895,7.203242714215996,False,False,,,,,2.183693120096769,7.402937344938383,8.621570501845808,8.915879378835774,6.884576244620198,1.1279757621027342,0.7721701867078398,,,,
10,0,0.0,2.0,276.9383850097656,1.5975990295410156,0.0,search,False,GarbageCan,"-1.91, 0.09, 2.24",0.21230320922128512,7.974589382202884,False,False,,,,,1.9337180194098043,7.155425594939755,8.615801751943886,8.915879378835774,6.691184825889785,1.1136337582760065,0.7504795143116341,,,,
11,0,-0.25,2.0,278.2267150878906,1.4288928508758545,0.0,search,False,GarbageCan,"-1.96, 0.05, 2.25",0.22258160374228972,9.310574383410492,False,False,,,,,1.6837503123748456,6.852079166183473,8.6082652753241,8.915879378835774,6.3835616292000275,1.1011875135079414,0.7159766701592127,,,,
12,0,-1.5,2.0,295.6409912109375,1.3992385864257812,0.0,goal_navigation,False,GarbageCan,"-2.00, 0.08, 2.24",0.22122964888381016,11.164583324332666,False,False,,,,,0.4344695542652694,6.509859481666309,8.597944704481257,8.915879378835774,5.884648348621033,1.0903011637824067,0.6600188381406125,,,,0.555
