x,y,dist_robot,olf_post,vis_post,fused,vis_like,observed,mle_class,ev_person,post_person,ev_couch,post_couch,ev_toilet,post_toilet,ev_microwave,post_microwave,ev_oven,post_oven,ev_sink,post_sink,ev_refrigerator,post_refrigerator,ev_clock,post_clock,ev_empty_floor,post_empty_floor
0,2.25,0.681346,0.00236407,0.0441368,0.0441368,0.206368,True,microwave,0,0.015873,0,0.015873,0,0.015873,6,0.873016,0,0.015873,0,0.015873,0,0.015873,0,0.015873,0,0.015873
1.75,4,2.27863,0.00236407,0.0382237,0.0382237,0.178721,True,refrigerator,0,0.0277778,0,0.0277778,0,0.0277778,0,0.0277778,0,0.0277778,0,0.0277778,3,0.777778,0,0.0277778,0,0.0277778
1,2.5,1.29828,0.00236407,0.0278863,0.0278863,0.130387,True,oven,0,0.015873,0,0.015873,0,0.015873,0,0.015873,3,0.444444,0,0.015873,0,0.015873,0,0.015873,3,0.444444
1,5.75,3.11857,0.00236407,0.0253518,0.0253518,0.118536,True,couch,0,0.0555556,1,0.555556,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556
0,2.5,0.455731,0.00236407,0.0169074,0.0169074,0.0790532,True,empty floor,0,0.0111111,0,0.0111111,0,0.0111111,3,0.311111,0,0.0111111,0,0.0111111,0,0.0111111,0,0.0111111,6,0.611111
-1.25,5.25,2.56923,0.00236407,0.00633795,0.00633795,0.029634,True,empty floor,0,0.0138889,1,0.138889,0,0.0138889,0,0.0138889,0,0.0138889,0,0.0138889,0,0.0138889,0,0.0138889,6,0.763889
0.25,2.5,0.624218,0.00236407,0.00583079,0.00583079,0.0272627,True,empty floor,0,0.00529101,0,0.00529101,0,0.00529101,2,0.100529,0,0.00529101,0,0.00529101,0,0.00529101,0,0.00529101,18,0.862434
0,2.75,0.275949,0.00236407,0.00541562,0.00541562,0.0253215,True,empty floor,0,0.00793651,0,0.00793651,0,0.00793651,1,0.0793651,0,0.00793651,0,0.00793651,0,0.00793651,0,0.00793651,12,0.865079
-0.75,3.5,0.797275,0.00236407,0.00417013,0.00417013,0.019498,True,empty floor,0,0.015873,0,0.015873,0,0.015873,0,0.015873,0,0.015873,0,0.015873,0,0.015873,0,0.015873,6,0.873016
-0.5,3.5,0.665286,0.00236407,0.00417013,0.00417013,0.019498,True,empty floor,0,0.015873,0,0.015873,0,0.015873,0,0.015873,0,0.015873,0,0.015873,0,0.015873,0,0.015873,6,0.873016
0.75,5.75,3.02796,0.00236407,0.00291909,0.00291909,0.0136486,True,empty floor,0,0.0111111,0,0.0111111,0,0.0111111,0,0.0111111,0,0.0111111,0,0.0111111,0,0.0111111,0,0.0111111,9,0.911111
-0.75,3.25,0.626251,0.00236407,0.00291909,0.00291909,0.0136486,True,empty floor,0,0.0111111,0,0.0111111,0,0.0111111,0,0.0111111,0,0.0111111,0,0.0111111,0,0.0111111,0,0.0111111,9,0.911111
