x,y,dist_robot,olf_post,vis_post,fused,vis_like,observed,mle_class,ev_person,post_person,ev_couch,post_couch,ev_toilet,post_toilet,ev_microwave,post_microwave,ev_oven,post_oven,ev_sink,post_sink,ev_refrigerator,post_refrigerator,ev_clock,post_clock,ev_empty_floor,post_empty_floor
-1.5,4.75,1.53375,0.00236407,0.00236407,0.00236407,0.0341216,True,empty floor,0,0.0277778,0,0.0277778,0,0.0277778,0,0.0277778,0,0.0277778,0,0.0277778,0,0.0277778,0,0.0277778,3,0.777778
-1.75,4.75,1.67851,0.00236407,0.00236407,0.00236407,0.136486,False,person,0,0.111111,0,0.111111,0,0.111111,0,0.111111,0,0.111111,0,0.111111,0,0.111111,0,0.111111,0,0.111111
-2,4.75,1.84592,0.00236407,0.00236407,0.00236407,0.136486,False,person,0,0.111111,0,0.111111,0,0.111111,0,0.111111,0,0.111111,0,0.111111,0,0.111111,0,0.111111,0,0.111111
-2.25,4.75,2.03038,0.00236407,0.00236407,0.00236407,0.136486,False,person,0,0.111111,0,0.111111,0,0.111111,0,0.111111,0,0.111111,0,0.111111,0,0.111111,0,0.111111,0,0.111111
2,4.5,2.89427,0.00236407,0.00236407,0.00236407,0.0341216,True,empty floor,0,0.0277778,0,0.0277778,0,0.0277778,0,0.0277778,0,0.0277778,0,0.0277778,0,0.0277778,0,0.0277778,3,0.777778
1.25,4.5,2.21289,0.00236407,0.00236407,0.00236407,0.0341216,True,empty floor,0,0.0277778,0,0.0277778,0,0.0277778,0,0.0277778,0,0.0277778,0,0.0277778,0,0.0277778,0,0.0277778,3,0.777778
-1.75,4.5,1.49237,0.00236407,0.00236407,0.00236407,0.136486,False,person,0,0.111111,0,0.111111,0,0.111111,0,0.111111,0,0.111111,0,0.111111,0,0.111111,0,0.111111,0,0.111111
1,4.5,1.99673,0.00236407,0.00236407,0.00236407,0.0341216,True,empty floor,0,0.0277778,0,0.0277778,0,0.0277778,0,0.0277778,0,0.0277778,0,0.0277778,0,0.0277778,0,0.0277778,3,0.777778
0.5,4.5,1.59435,0.00236407,0.00236407,0.00236407,0.0341216,True,empty floor,0,0.0277778,0,0.0277778,0,0.0277778,0,0.0277778,0,0.0277778,0,0.0277778,0,0.0277778,0,0.0277778,3,0.777778
0.25,4.5,1.41668,0.00236407,0.00236407,0.00236407,0.0341216,True,empty floor,0,0.0277778,0,0.0277778,0,0.0277778,0,0.0277778,0,0.0277778,0,0.0277778,0,0.0277778,0,0.0277778,3,0.777778
0,4.5,1.26373,0.00236407,0.00236407,0.00236407,0.0341216,True,empty floor,0,0.0277778,0,0.0277778,0,0.0277778,0,0.0277778,0,0.0277778,0,0.0277778,0,0.0277778,0,0.0277778,3,0.777778
-0.25,4.5,1.14544,0.00236407,0.00236407,0.00236407,0.0341216,True,empty floor,0,0.0277778,0,0.0277778,0,0.0277778,0,0.0277778,0,0.0277778,0,0.0277778,0,0.0277778,0,0.0277778,3,0.777778
-0.5,4.5,1.07334,0.00236407,0.00236407,0.00236407,0.0341216,True,empty floor,0,0.0277778,0,0.0277778,0,0.0277778,0,0.0277778,0,0.0277778,0,0.0277778,0,0.0277778,0,0.0277778,3,0.777778
-0.75,4.5,1.05692,0.00236407,0.00236407,0.00236407,0.0341216,True,empty floor,0,0.0277778,0,0.0277778,0,0.0277778,0,0.0277778,0,0.0277778,0,0.0277778,0,0.0277778,0,0.0277778,3,0.777778
-1,4.5,1.09868,0.00236407,0.00236407,0.00236407,0.0341216,True,empty floor,0,0.0277778,0,0.0277778,0,0.0277778,0,0.0277778,0,0.0277778,0,0.0277778,0,0.0277778,0,0.0277778,3,0.777778
-1.25,4.5,1.19253,0.00236407,0.00236407,0.00236407,0.0341216,True,empty floor,0,0.0277778,0,0.0277778,0,0.0277778,0,0.0277778,0,0.0277778,0,0.0277778,0,0.0277778,0,0.0277778,3,0.777778
-1.5,4.5,1.32746,0.00236407,0.00236407,0.00236407,0.136486,False,person,0,0.111111,0,0.111111,0,0.111111,0,0.111111,0,0.111111,0,0.111111,0,0.111111,0,0.111111,0,0.111111
0.25,4,1.09613,0.00236407,0.00236407,0.00236407,0.0341216,True,empty floor,0,0.0277778,0,0.0277778,0,0.0277778,0,0.0277778,0,0.0277778,0,0.0277778,0,0.0277778,0,0.0277778,3,0.777778
-0.25,4,0.711721,0.00236407,0.00236407,0.00236407,0.0341216,True,empty floor,0,0.0277778,0,0.0277778,0,0.0277778,0,0.0277778,0,0.0277778,0,0.0277778,0,0.0277778,0,0.0277778,3,0.777778
0,3.25,0.721664,0.00236407,0.00236407,0.00236407,0.136486,False,person,0,0.111111,0,0.111111,0,0.111111,0,0.111111,0,0.111111,0,0.111111,0,0.111111,0,0.111111,0,0.111111
-0.5,4,0.588701,0.00236407,0.00236407,0.00236407,0.0341216,True,empty floor,0,0.0277778,0,0.0277778,0,0.0277778,0,0.0277778,0,0.0277778,0,0.0277778,0,0.0277778,0,0.0277778,3,0.777778
1.25,3.5,1.94575,0.00236407,0.00236407,0.00236407,0.0341216,True,empty floor,0,0.0277778,0,0.0277778,0,0.0277778,0,0.0277778,0,0.0277778,0,0.0277778,0,0.0277778,0,0.0277778,3,0.777778
1,3.5,1.69586,0.00236407,0.00236407,0.00236407,0.0341216,True,empty floor,0,0.0277778,0,0.0277778,0,0.0277778,0,0.0277778,0,0.0277778,0,0.0277778,0,0.0277778,0,0.0277778,3,0.777778
0.75,3.5,1.44602,0.00236407,0.00236407,0.00236407,0.0341216,True,empty floor,0,0.0277778,0,0.0277778,0,0.0277778,0,0.0277778,0,0.0277778,0,0.0277778,0,0.0277778,0,0.0277778,3,0.777778
0.5,3.5,1.19624,0.00236407,0.00236407,0.00236407,0.0341216,True,empty floor,0,0.0277778,0,0.0277778,0,0.0277778,0,0.0277778,0,0.0277778,0,0.0277778,0,0.0277778,0,0.0277778,3,0.777778
