x,y,dist_robot,olf_post,vis_post,fused,vis_like,observed,mle_class,ev_person,post_person,ev_couch,post_couch,ev_toilet,post_toilet,ev_microwave,post_microwave,ev_oven,post_oven,ev_sink,post_sink,ev_refrigerator,post_refrigerator,ev_clock,post_clock,ev_empty_floor,post_empty_floor
0,2.25,0.913706,0.00236407,0.0342161,0.0342161,0.197633,True,microwave,0,0.0277778,0,0.0277778,0,0.0277778,3,0.777778,0,0.0277778,0,0.0277778,0,0.0277778,0,0.0277778,0,0.0277778
1.75,4,2.2273,0.00236407,0.0301294,0.0301294,0.174028,True,refrigerator,0,0.037037,0,0.037037,0,0.037037,0,0.037037,0,0.037037,0,0.037037,2,0.703704,0,0.037037,0,0.037037
1,2.5,1.43274,0.00236407,0.0225738,0.0225738,0.130387,True,oven,0,0.015873,0,0.015873,0,0.015873,0,0.015873,3,0.444444,0,0.015873,0,0.015873,0,0.015873,3,0.444444
1,5.75,2.93547,0.00236407,0.0205221,0.0205221,0.118536,True,couch,0,0.0555556,1,0.555556,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556,0,0.0555556
0,2.5,0.681761,0.00236407,0.0110133,0.0110133,0.063613,True,empty floor,0,0.0123457,0,0.0123457,0,0.0123457,2,0.234568,0,0.0123457,0,0.0123457,0,0.0123457,0,0.0123457,6,0.679012
-0.5,3.5,0.436551,0.00236407,0.00590746,0.00590746,0.0341216,True,empty floor,0,0.0277778,0,0.0277778,0,0.0277778,0,0.0277778,0,0.0277778,0,0.0277778,0,0.0277778,0,0.0277778,3,0.777778
-0.75,3.5,0.59673,0.00236407,0.00590746,0.00590746,0.0341216,True,empty floor,0,0.0277778,0,0.0277778,0,0.0277778,0,0.0277778,0,0.0277778,0,0.0277778,0,0.0277778,0,0.0277778,3,0.777778
-1.25,5.25,2.33916,0.00236407,0.00513053,0.00513053,0.029634,True,empty floor,0,0.0138889,1,0.138889,0,0.0138889,0,0.0138889,0,0.0138889,0,0.0138889,0,0.0138889,0,0.0138889,6,0.763889
0,2.75,0.468761,0.00236407,0.00438391,0.00438391,0.0253215,True,empty floor,0,0.00793651,0,0.00793651,0,0.00793651,1,0.0793651,0,0.00793651,0,0.00793651,0,0.00793651,0,0.00793651,12,0.865079
-0.5,3.75,0.66747,0.00236407,0.00337569,0.00337569,0.019498,True,empty floor,0,0.015873,0,0.015873,0,0.015873,0,0.015873,0,0.015873,0,0.015873,0,0.015873,0,0.015873,6,0.873016
