step,phase,init_view,time,robot_x,robot_y,robot_yaw,n_detections,n_depth_rejected,yolo_raw,det_no_depth,det_off_class,n_doa_samples,chemicalConc,best_detection,best_sim,H_fused,trigger,peak_object,q_s_map,L0_map,level_db
-1,Initialization,0.0,10.7,-0.6883963702087872,3.402894261386085,23.8,2,0,4,0,2,0,0.0,,,,,,,,
-1,Initialization,1.0,23.29,-0.694954780603351,3.4445170009773576,92.5,0,0,3,0,3,0,0.0,,,,,,,,
-1,Initialization,2.0,35.85,-0.6988339599635074,3.402210953133294,159.2,0,0,0,0,0,0,0.0,,,,,,,,
-1,Initialization,3.0,47.54,-0.7052990985022985,3.3502625987734467,-133.6,0,0,2,0,2,0,0.0,,,,,,,,
-1,Initialization,4.0,60.26,-0.7131951782008003,3.3826927624154477,-64.2,1,0,2,0,1,0,0.0,,,,,,,,
-1,Initialization,5.0,72.68,-0.7173464130101084,3.3806180661043563,5.3,2,0,4,0,2,0,0.0,,,,,,,,
0,search,,128.94,-0.7042092076360822,3.378910743188322,-19.2,3,0,5,0,2,0,0.0,oven,0.25873976945877075,8.503,0.9746,microwave,5.000000000000001,,
1,search,,193.42,-0.2939788196912786,3.1151211537318324,-91.5,0,0,0,0,0,0,0.0,,,8.416,0.9646,microwave,5.000000000000001,,
2,search,,257.12,-0.23891568919063869,2.8880848155994627,-105.6,1,0,1,0,0,0,0.0,microwave,0.21801519393920898,8.291,0.9503,microwave,5.000000000000001,,
