step,phase,init_view,time,robot_x,robot_y,robot_yaw,n_detections,n_depth_rejected,n_doa_samples,chemicalConc,best_detection,best_sim,H_fused,trigger,peak_object,q_s_map,L0_map,level_db
-1,Initialization,0.0,12.05,-0.38135530114712823,-3.2961875482119862,-2.1,2,3,0,0.0,,,,,,,,
-1,Initialization,1.0,18.38,-0.27396628362071485,-3.2908063295103673,88.9,0,1,0,0.0,,,,,,,,
-1,Initialization,2.0,24.58,-0.1409430729562517,-3.2698939090363015,-177.2,0,0,0,0.0,,,,,,,,
-1,Initialization,3.0,30.96,-0.12332571232875297,-3.304927259904083,-82.7,2,0,0,0.0,,,,,,,,
0,search,,34.93,-0.12555728377332598,-3.3119263117601174,-78.2,3,0,0,0.0,oven,0.25873976945877075,9.594,0.9827,oven,999.9999999999998,,
1,search,,51.21,0.0495288439342953,-3.4533665547368724,-58.7,4,0,0,0.0,oven,0.25873976945877075,9.561,0.9793,empty floor,999.9999999999998,,
2,search,,68.54,0.10729255336825555,-3.865352107439716,-92.7,0,0,0,0.0,,,9.514,0.9745,empty floor,999.9999999999998,,
3,search,,76.98,-0.0721018000618551,-4.051888165889289,-123.4,0,0,0,0.0,,,9.487,0.9717,unobserved,999.9999999999998,,
