step,phase,init_view,time,robot_x,robot_y,robot_yaw,n_detections,n_depth_rejected,n_doa_samples,chemicalConc,best_detection,best_sim,H_fused,trigger,peak_object,q_s_map,L0_map,level_db
-1,Initialization,0.0,10.24,1.4233658750247116,-1.3495563437306533,-176.5,0,0,0,,,,,,,,,
-1,Initialization,1.0,16.28,1.3616951608694923,-1.298686272393391,-79.4,1,0,0,0.0,,,,,,,,
-1,Initialization,2.0,22.35,1.328974585244516,-1.253334624137709,17.8,2,0,0,0.0,,,,,,,,
-1,Initialization,3.0,28.63,1.3436733677866048,-1.2669266567527664,115.0,1,7,0,0.0,,,,,,,,
0,search,,32.35,1.3498535795627578,-1.2914148679092476,117.3,0,8,0,0.0,,,9.593,0.9826,unobserved,999.9999999999998,,
1,search,,47.72,0.9414912212298727,-1.8496719049918249,-108.9,0,1,0,0.0,,,9.536,0.9768,unobserved,999.9999999999998,,
2,search,,62.76,0.5400295105759751,-2.2864482401305892,-118.6,0,3,0,0.0,,,9.465,0.9694,unobserved,999.9999999999998,,
3,search,,74.21,0.5277176021901869,-2.3437575936903072,-119.9,0,2,0,0.0,,,9.446,0.9675,unobserved,999.9999999999998,,
