step,robot_id,robot_x,robot_z,robot_yaw,step_time,listen_s,behavior_flag,is_random,target_object,target_coordinate,target_coord_estimation_error,concentration,sound_active,sound_detected,sound_doa_deg,sound_level_db,n_doa_samples,doa_sigma_eff,gt_distance_from_source,Bayesian_entropy,visual_entropy,sound_entropy,fused_entropy,semantic_entropy,trigger_stat,trigger_V,trigger_O,trigger_A,dist_to_target
0,0,2.25,1.25,270.0,2.851469039916992,2.0,Initialization,False,PaperTowelRoll,"0.03, 0.27, -0.14",1.3646775740110737,,True,True,67.4709515025639,59.095566914533066,20.0,12.5,3.9426058449138965,8.546894459887639,8.366165258703347,6.802737400920763,6.543906489404736,1.2774702257129296,0.7656472792681197,,,,
1,0,2.0,1.25,234.7938232421875,0.6904680728912354,0.0,search,False,PaperTowelRoll,"0.04, 0.27, -0.14",1.3743552435941657,,False,False,,,,,3.7197384966820572,8.546894459887639,8.315704586282376,6.802737400920763,6.503724155633154,1.2238101751285688,0.7609458834617053,,,,
2,0,1.75,1.25,230.89353942871094,0.6678557395935059,0.0,search,False,PaperTowelRoll,"0.04, 0.27, -0.14",1.3743552435941657,,False,False,,,,,3.5005382613317866,8.546894459887639,8.275458467373184,6.802737400920763,6.4580644038814,1.1841977689147487,0.7556036211972015,,,,
3,0,0.0,-0.5,6.34019136428833,2.7441346645355225,2.0,goal_navigation,False,PaperTowelRoll,"0.04, 0.27, -0.14",1.3743552435941657,,True,True,20.738220160533103,57.053245581888234,20.0,12.5,1.2904609965566662,8.546894459887639,8.242701076793141,5.9701138971585275,5.79643460998043,1.1534202476650333,0.6781919020042085,,,,0.362
