,Total Distance Traveled,Steps Taken,Final Distance from Source,Total Step Time,Final Target
,0.7,0.7,0.7,0.7,0.7
Run Number,,,,,
1,2.45,3,0.257,7.14,Book
2,3.2,1,1.019,3.72,PaperTowelRoll
3,3.43,2,0.639,4.35,Stool
4,2.97,3,1.374,6.95,PaperTowelRoll
5,4.3,9,0.02,16.76,SaltShaker
