,Total Distance Traveled,Steps Taken,Final Distance from Source,Total Step Time,Final Target
,0.7,0.7,0.7,0.7,0.7
Run Number,,,,,
1,4.47,4,0.362,8.42,toilet
2,4.0,4,0.396,8.85,toilet
3,3.55,4,0.303,8.66,toilet
4,2.83,1,0.737,3.87,toilet
5,2.5,1,0.925,3.91,toilet
