x,y,dist_robot,snd_loglik,snd_post,vis_post,fused,vis_like,observed,mle_class,ev_person,post_person,ev_chair,post_chair,ev_couch,post_couch,ev_toilet,post_toilet,ev_microwave,post_microwave,ev_oven,post_oven,ev_sink,post_sink,ev_refrigerator,post_refrigerator,ev_tv,post_tv,ev_empty_floor,post_empty_floor
-2,5.75,2.32408,-0.261353,0.0167204,0.0170575,0.0693706,0.0857317,True,person,3,0.3875,0,0.0125,0,0.0125,0,0.0125,0,0.0125,0,0.0125,0,0.0125,0,0.0125,1,0.1375,3,0.3875
-2,6.25,2.44082,-0.0511741,0.00467035,0.0269898,0.0580113,0.148161,True,tv,1,0.183333,0,0.0166667,0,0.0166667,0,0.0166667,0,0.0166667,0,0.0166667,0,0.0166667,0,0.0166667,4,0.683333,0,0.0166667
-2,6,2.37001,-0.0180786,0.00981586,0.0133675,0.0416536,0.0743218,True,empty floor,1,0.183333,0,0.0166667,0,0.0166667,0,0.0166667,0,0.0166667,0,0.0166667,0,0.0166667,0,0.0166667,1,0.183333,3,0.516667
-0.25,1.75,3.73504,-2.99573,0.00162882,0.0258544,0.0328178,0.211511,True,microwave,0,0.05,0,0.05,0,0.05,0,0.05,1,0.55,0,0.05,0,0.05,0,0.05,0,0.05,0,0.05
-2.25,6,2.61369,-0.0464741,0.00932349,0.0104155,0.0316307,0.0651939,True,empty floor,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,1,0.22,3,0.62
-0.5,5.75,0.860176,-0.105556,0.06654,0.00354758,0.0287814,0.0254701,True,empty floor,0,0.0142857,0,0.0142857,0,0.0142857,0,0.0142857,0,0.0142857,0,0.0142857,0,0.0142857,0,0.0142857,0,0.0142857,6,0.871429
-1,5.5,1.30503,-0.679542,0.0385512,0.00248331,0.0153351,0.0178291,True,empty floor,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,9,0.91
-0.25,2.75,2.75009,-2.99573,0.00201833,0.0105921,0.0149663,0.0596504,True,empty floor,1,0.22,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,0,0.02,3,0.62
-0.75,5.5,1.05531,-0.622544,0.0346414,0.00248331,0.0145367,0.0178291,True,empty floor,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,9,0.91
-0.75,5.75,1.09741,-0.00100077,0.0558003,0.00191023,0.014192,0.0137147,True,empty floor,0,0.00769231,0,0.00769231,0,0.00769231,0,0.00769231,0,0.00769231,0,0.00769231,0,0.00769231,0,0.00769231,0,0.00769231,12,0.930769
-1.25,5.5,1.55483,-0.719459,0.0328383,0.00248331,0.0141533,0.0178291,True,empty floor,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,9,0.91
-1.5,5.5,1.80469,-0.748928,0.0266321,0.00248331,0.0127459,0.0178291,True,empty floor,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,9,0.91
-0.75,3.25,2.43374,-2.99573,0.00347156,0.00662005,0.0122677,0.0372815,True,empty floor,1,0.1375,0,0.0125,0,0.0125,0,0.0125,0,0.0125,0,0.0125,0,0.0125,0,0.0125,0,0.0125,6,0.7625
