step,phase,time,robot_x,robot_y,n_detections,n_depth_rejected,n_doa_samples,chemicalConc,H_fused,trigger,peak_object,q_s_map,L0_map,init_view,robot_yaw,yolo_raw,det_no_depth,det_off_class,best_detection,best_sim,level_db
0,pre_sensing,0.63,0.0,0.0,0,0,0,,8.725,1.0,unobserved,,,,,,,,,,
1,Initialization,12.84,0.3303404928190339,6.134680024269379,1,0,59,,,,,,,0.0,172.0,12.0,0.0,2.0,,,
1,Initialization,29.61,0.32967334278325483,6.092494989388822,1,0,59,,,,,,,1.0,-116.9,2.0,0.0,1.0,,,
1,Initialization,45.93,0.24451107679395123,6.1001521514496515,2,0,60,,,,,,,2.0,-47.5,3.0,0.0,1.0,,,
1,Initialization,62.4,0.22747309210018002,6.102510183662572,1,0,59,,,,,,,3.0,20.9,1.0,0.0,0.0,,,
1,Initialization,78.71,0.2506610725055033,6.066728318727523,0,0,59,,,,,,,4.0,89.1,0.0,0.0,0.0,,,
1,Initialization,95.2,0.3284676398377987,6.0643577513683455,4,0,59,,,,,,,5.0,161.3,16.0,0.0,4.0,,,
1,Initialization,100.09,0.3284676398377987,6.0643577513683455,4,0,59,,7.795,0.8934,unobserved,,20.0,,161.3,16.0,0.0,4.0,,,
2,search,161.73,0.3487492003483964,6.100629366059289,1,0,60,,7.927,0.9086,microwave,,20.0,,145.9,12.0,0.0,3.0,tv,0.14767874777317047,
3,search,241.1,0.3038123132323924,5.443751943267663,2,0,59,,7.149,0.8195,person,,20.0,,-97.7,5.0,0.0,3.0,microwave,0.24473123252391815,
